Dependent Identifier,Dependent Version,Dependency Identifier,Dependency Version,Dependency Status,Relationship,Semantic Compatibility,Approval Reference
CVR-001,1.0,RFC-010,1.0,FROZEN,Canonical ontology boundary,Compatible,Closure Gate 1 release decision
CVR-001,1.0,CDD-003,2.0,FROZEN,Canonical vocabulary ownership,Compatible,Closure Gate 1 release decision
CVR-001,1.0,ARCH-005,1.0,FROZEN,Bounded owner and UUID authority,Compatible,Closure Gate 1 release decision
DRM-001,1.3,RFC-014,1.1,FROZEN,Bounded recommendation policy,Compatible,Closure Gate 1 release decision
DRM-001,1.3,CIM-001,1.1,FROZEN,Recommendation contract,Compatible,Closure Gate 1 release decision
RFC-014,1.1,ASM-001,2.3,FROZEN,Assertion evidence gate,Compatible,Closure Gate 1 release decision
RFC-014,1.1,DRM-001,1.3,FROZEN,Recommendation semantics,Compatible,Closure Gate 1 release decision
RFC-014,1.1,GRM-001,1.3,FROZEN,Standing semantics,Compatible,Closure Gate 1 release decision
RFC-014,1.1,EIC-001,1.3,FROZEN,Trusted invocation metadata,Compatible,Closure Gate 1 release decision
RFC-014,1.1,EOM-001,1.3,FROZEN,Outcome-gated orchestration,Compatible,Closure Gate 1 release decision
RFC-014,1.1,CVR-001,1.0,FROZEN,Supplier-risk vocabulary,Compatible,Closure Gate 1 release decision
RFC-014,1.1,ARCH-005,1.0,FROZEN,Vocabulary ownership,Compatible,Closure Gate 1 release decision
CIM-001,1.1,RFC-014,1.1,FROZEN,Integration policy,Compatible,Closure Gate 1 release decision
CIM-001,1.1,CVR-001,1.0,FROZEN,Supplier-risk vocabulary,Compatible,Closure Gate 1 release decision
ARCH-005,1.0,ARCH-004,1.0,FROZEN,Bootstrap authority qualification,Compatible,Closure Gate 1 release decision
